Discrete Data Element,Equivalent A ,Equivalent B,Equivalent C,Equivalent D
Malignant Neoplasm of the Breast,breast cancer,,,
Melanoma,skin cancer,,,
Lung Cancer,lung adenocarcinoma,squamous cell lung carcinoma,,
Kidney cancer,renal cancer,,,
B-Cell Lymphoma,hematological malignancy,,,
Radiation (breast),,,,
Systolic Heart Failure,reduced ejection fraction ,,,
Ischemic Cardiomyopathy and other cardiomyopathy,,,,
Coronary Artery Disease,atherosclerosis ,,,
Diastolic Heart Failure,,,,
Severe aortic stenosis,,,,
Severe mitral regurgitation,,,,
Atrial fibrilation (ICD-10 I-48 group),arrythmia ,,,
Severe pulmonary hypertension (RVSP > 60),,,,
Past Myocarditis,,,,
A1C > 9,diabetes melitus,,,
Troponin > 0.02,AMI,NSTEMI,Acute Myocardial Infarction,STEMI
GLS (global longitudinal strain) > 17,subclinical LV dysunction ,,,
Essential Hypertension,,,,
"Diabetes Mellitus (1+2, exclude gestational & hospice)",hyperglycemia,,,
Age > 65,geriatric,senior,advanced age,
LDL =>190 and/or Xanthoma,"hyperlipidemia, mixed",familiar hyperlipidemia,,
HDL =<40,dyslipidemia,,,
BMI > 35,obesity ,,,
EF 51%-54%,ejection fraction,LVEF,left ventricular ejection fraction,
Blood Pressure >= 140/90,hypertension ,,,
Pro-BNP >= 400,congestive heart failure,fluid retention ,,
BNP > 100,congestive heart failure,fluid retension ,,
Current Smoker,,,,
Hyperlipidemia,dyslipidemia,familiar hyperlipidemia,,
African-American race,,,,
LDL 160 to 189 ,"hyperlipidemia, mixed",,,
HDL 41 to 59,dyslipidemia,,,
Former Smoker,,,,
CART Cell Procedure,bone marrow transplantation ,,,
